uncertainty_half_width,uncertainty_low,uncertainty_high,coverage,n_accepted,auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples
0.0,0.5,0.5,0.9842767295597484,313,0.8748722237710249,0.8299786345464654,0.5,0.0,0.0,1.0,0.1899781518523901,0.1455243481874215,0.5653224379355449,0.5,313.0
0.05,0.45,0.55,0.9622641509433962,306,0.8656522823646795,0.8052065165824724,0.5,0.0,0.0,1.0,0.1879595176746697,0.13679165010367433,0.5611047339283768,0.5,306.0
0.1,0.4,0.6,0.8522012578616353,271,0.8033647167772804,0.616965881187136,0.5,0.0,0.0,1.0,0.16997195002023352,0.08686956911422196,0.523908867150782,0.5,271.0
0.15,0.35,0.65,0.6698113207547169,213,0.6706491437674235,0.2295607430787321,0.5,0.0,0.0,1.0,0.13777071965140752,0.1730693183487293,0.45650663408206865,0.5,213.0
0.2,0.3,0.7,0.34591194968553457,110,0.5637254901960784,0.20913446298514787,0.5,0.0,0.0,1.0,0.10883718306106882,0.20405602666776193,0.39303267426276645,0.5,110.0
0.25,0.25,0.75,0.025157232704402517,8,,,1.0,0.0,0.0,1.0,0.060408451835102836,0.24576371994453577,0.28205718708083216,0.5,8.0
0.3,0.2,0.8,0.0,0,,,,,,,,,,,
0.35,0.15000000000000002,0.85,0.0,0,,,,,,,,,,,
0.4,0.09999999999999998,0.9,0.0,0,,,,,,,,,,,
0.45,0.04999999999999999,0.95,0.0,0,,,,,,,,,,,
