table_source,model_name,modality,fusion_method,n_samples,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,ece,nll
ml_baseline_metrics,dummy_most_frequent,cough,,636,0.500,0.324,0.500,0.000,1.000,0.000,0.324,0.324,4.475
ml_baseline_metrics,dummy_stratified,cough,,636,0.479,0.316,0.479,0.296,0.663,0.296,0.456,0.456,6.300
ml_baseline_metrics,logistic_regression,cough,,636,0.785,0.656,0.724,0.762,0.686,0.631,0.196,0.162,0.583
ml_baseline_metrics,random_forest,cough,,636,0.807,0.719,0.653,0.350,0.956,0.485,0.171,0.118,0.523
ml_baseline_metrics,dummy_most_frequent,breath,,636,0.500,0.324,0.500,0.000,1.000,0.000,0.324,0.324,4.475
ml_baseline_metrics,dummy_stratified,breath,,636,0.479,0.316,0.479,0.296,0.663,0.296,0.456,0.456,6.300
ml_baseline_metrics,logistic_regression,breath,,636,0.755,0.566,0.695,0.767,0.623,0.601,0.205,0.142,0.592
ml_baseline_metrics,random_forest,breath,,636,0.799,0.672,0.674,0.422,0.926,0.535,0.169,0.071,0.517
ml_baseline_metrics,dummy_most_frequent,speech,,1590,0.500,0.324,0.500,0.000,1.000,0.000,0.324,0.324,4.475
ml_baseline_metrics,dummy_stratified,speech,,1590,0.507,0.327,0.507,0.332,0.683,0.333,0.431,0.431,5.952
ml_baseline_metrics,logistic_regression,speech,,1590,0.748,0.609,0.681,0.744,0.618,0.585,0.209,0.161,0.602
ml_baseline_metrics,random_forest,speech,,1590,0.759,0.620,0.639,0.348,0.931,0.466,0.181,0.065,0.545
calibration_metrics,dummy_most_frequent,breath,,636,0.500,0.324,0.500,0.000,1.000,0.000,0.219,0.002,0.630
calibration_metrics,dummy_most_frequent,cough,,636,0.500,0.324,0.500,0.000,1.000,0.000,0.219,0.002,0.630
calibration_metrics,dummy_most_frequent,speech,,1590,0.500,0.324,0.500,0.000,1.000,0.000,0.219,0.002,0.630
calibration_metrics,dummy_stratified,breath,,636,0.521,0.333,0.500,0.000,1.000,0.000,0.219,0.002,0.629
calibration_metrics,dummy_stratified,cough,,636,0.521,0.333,0.500,0.000,1.000,0.000,0.219,0.002,0.629
calibration_metrics,dummy_stratified,speech,,1590,0.507,0.327,0.500,0.000,1.000,0.000,0.219,0.002,0.630
calibration_metrics,logistic_regression,breath,,636,0.755,0.566,0.561,0.150,0.972,0.249,0.187,0.058,0.553
calibration_metrics,logistic_regression,cough,,636,0.785,0.656,0.683,0.442,0.923,0.552,0.173,0.080,0.526
calibration_metrics,logistic_regression,speech,,1590,0.748,0.609,0.640,0.390,0.889,0.481,0.184,0.046,0.548
calibration_metrics,random_forest,breath,,636,0.799,0.672,0.654,0.369,0.940,0.494,0.171,0.085,0.523
calibration_metrics,random_forest,cough,,636,0.807,0.719,0.658,0.359,0.956,0.495,0.167,0.092,0.513
calibration_metrics,random_forest,speech,,1590,0.759,0.620,0.656,0.394,0.917,0.503,0.178,0.045,0.537
fusion_metrics,,,uniform_mean,318,0.879,0.838,0.793,0.796,0.791,0.713,0.189,0.145,0.564
fusion_metrics,,,validation_weighted_auprc,318,0.878,0.842,0.811,0.738,0.884,0.745,0.189,0.149,0.563
quality_weighted_fusion_metrics,,,quality_weighted_auprc,318,"0.876 [0.829, 0.919]","0.831 [0.767, 0.885]",0.809,0.757,0.860,0.739,"0.189 [0.174, 0.204]","0.149 [0.125, 0.199]",0.564
metadata_baseline_metrics,metadata_logistic_regression,metadata,,2862,0.936,0.922,0.891,0.847,0.934,0.854,0.074,0.072,0.268
