metric,point,mean,ci_low,ci_high,confidence,n_bootstraps,n_samples,model_name,feature_strategy
auroc,0.5098656409853867,0.5094610150329177,0.4826349971903114,0.5510432012952626,0.95,50,8331,logistic_regression,all
auprc,0.037953942801198945,0.03933349635768422,0.032789094549190136,0.04567239696483896,0.95,50,8331,logistic_regression,all
brier,0.08454845393574145,0.08460279248589084,0.08247983471940001,0.0867298111002884,0.95,50,8331,logistic_regression,all
ece,0.2022324128991048,0.20162411148430287,0.19673804460695238,0.20730368239190836,0.95,50,8331,logistic_regression,all
auroc,0.48276227481455314,0.4835835960432415,0.4574324025663202,0.5173319415970797,0.95,50,8331,logistic_regression,drop_high_shift
auprc,0.03566430591249229,0.0368323212367913,0.03043304971604335,0.044165750848172466,0.95,50,8331,logistic_regression,drop_high_shift
brier,0.118836814479952,0.11885282620909468,0.1175919453132197,0.12070219190002825,0.95,50,8331,logistic_regression,drop_high_shift
ece,0.2710336683370878,0.2704703504619966,0.2656915423284512,0.27555180125878737,0.95,50,8331,logistic_regression,drop_high_shift
auroc,0.534794231414978,0.5380398166769661,0.4973786303322026,0.5757866190860644,0.95,50,8331,logistic_regression,top_stable_50
auprc,0.04217596348257965,0.04474273939716438,0.037664449894199585,0.053401270762932745,0.95,50,8331,logistic_regression,top_stable_50
brier,0.11509225252725758,0.11525271684449759,0.1138228813522519,0.11672014637341092,0.95,50,8331,logistic_regression,top_stable_50
ece,0.28451189703495494,0.28432537635584687,0.28070227881483295,0.28799791612052444,0.95,50,8331,logistic_regression,top_stable_50
auroc,0.5239661420516242,0.522669908820267,0.48680314676671393,0.5533725066036725,0.95,50,8331,random_forest,all
auprc,0.03945242298860676,0.04125069054526025,0.03211800589819751,0.0519154288429407,0.95,50,8331,random_forest,all
brier,0.1020395622473419,0.10213319950259925,0.10065367010252181,0.10364508099734285,0.95,50,8331,random_forest,all
ece,0.2506751959451328,0.2502079700170179,0.2465193346888773,0.25467951450588155,0.95,50,8331,random_forest,all
auroc,0.5185512251919882,0.5158992606683687,0.487634980771782,0.5403197886918446,0.95,50,8331,random_forest,drop_high_shift
auprc,0.036993618784395915,0.038874875760744394,0.03176710772617494,0.050297876870320134,0.95,50,8331,random_forest,drop_high_shift
brier,0.11201089681286787,0.11220562444688874,0.1108534558171789,0.11384557357009412,0.95,50,8331,random_forest,drop_high_shift
ece,0.2694194626638824,0.2691136899592736,0.26526790754725094,0.27341747898599605,0.95,50,8331,random_forest,drop_high_shift
auroc,0.4977615552677368,0.5021409591002376,0.46747566367234705,0.5371106623741965,0.95,50,8331,random_forest,top_stable_50
auprc,0.035881282110951214,0.03781602065138932,0.031240956105576527,0.045138000300324825,0.95,50,8331,random_forest,top_stable_50
brier,0.11680964632528505,0.11698659119397509,0.11554448574195376,0.11870747798649194,0.95,50,8331,random_forest,top_stable_50
ece,0.28489517028356715,0.2847548770141695,0.28095699608258595,0.288835986073963,0.95,50,8331,random_forest,top_stable_50
