bin_index,probability_lower,probability_upper,n_samples,n_positive,n_negative,mean_probability,observed_positive_rate,calibration_gap,abs_calibration_gap,prediction_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,split
0,0.0,0.1,1664,56,1608,0.03383361240306501,0.03365384615384615,0.0001797662492188587,0.0001797662492188587,coughvid_internal_beats_predictions,catboost,cough,all,,coughvid,platt,test
1,0.1,0.2,3,1,2,0.1181238781767636,0.3333333333333333,-0.2152094551565697,0.2152094551565697,coughvid_internal_beats_predictions,catboost,cough,all,,coughvid,platt,test
0,0.0,0.1,1667,57,1610,0.03418105269216882,0.03419316136772645,-1.2108675557634396e-05,1.2108675557634396e-05,coughvid_internal_beats_predictions,lightgbm,cough,all,,coughvid,platt,test
0,0.0,0.1,1585,43,1542,0.02979403597283731,0.027129337539432176,0.0026646984334051348,0.0026646984334051348,coughvid_internal_beats_predictions,logistic_regression,cough,all,,coughvid,platt,test
1,0.1,0.2,82,14,68,0.11540151556201983,0.17073170731707318,-0.055330191755053354,0.055330191755053354,coughvid_internal_beats_predictions,logistic_regression,cough,all,,coughvid,platt,test
0,0.0,0.1,1667,57,1610,0.034158967776838446,0.03419316136772645,-3.4193590888007e-05,3.4193590888007e-05,coughvid_internal_beats_predictions,random_forest,cough,all,,coughvid,platt,test
0,0.0,0.1,1637,50,1587,0.031144225308225356,0.030543677458766034,0.0006005478494593222,0.0006005478494593222,coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test
1,0.1,0.2,24,5,19,0.1343436038733127,0.20833333333333334,-0.07398972946002064,0.07398972946002064,coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test
2,0.2,0.30000000000000004,6,2,4,0.2405199728360887,0.3333333333333333,-0.09281336049724462,0.09281336049724462,coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test
0,0.0,0.1,1665,56,1609,0.03409050308694637,0.033633633633633635,0.0004568694533127332,0.0004568694533127332,coughvid_internal_opensmile_egemaps_predictions,catboost,cough,all,,coughvid,platt,test
1,0.1,0.2,2,1,1,0.11872366078120619,0.5,-0.3812763392187938,0.3812763392187938,coughvid_internal_opensmile_egemaps_predictions,catboost,cough,all,,coughvid,platt,test
0,0.0,0.1,1666,57,1609,0.03411087617544072,0.034213685474189674,-0.0001028092987489515,0.0001028092987489515,coughvid_internal_opensmile_egemaps_predictions,lightgbm,cough,all,,coughvid,platt,test
1,0.1,0.2,1,0,1,0.1118290257865009,0.0,0.1118290257865009,0.1118290257865009,coughvid_internal_opensmile_egemaps_predictions,lightgbm,cough,all,,coughvid,platt,test
0,0.0,0.1,1664,56,1608,0.03326888495127671,0.03365384615384615,-0.0003849612025694435,0.0003849612025694435,coughvid_internal_opensmile_egemaps_predictions,logistic_regression,cough,all,,coughvid,platt,test
1,0.1,0.2,3,1,2,0.10100310329153954,0.3333333333333333,-0.23233023004179376,0.23233023004179376,coughvid_internal_opensmile_egemaps_predictions,logistic_regression,cough,all,,coughvid,platt,test
0,0.0,0.1,1667,57,1610,0.03416181064376349,0.03419316136772645,-3.13507239629654e-05,3.13507239629654e-05,coughvid_internal_opensmile_egemaps_predictions,random_forest,cough,all,,coughvid,platt,test
0,0.0,0.1,1650,53,1597,0.03276554949651653,0.03212121212121212,0.0006443373753044074,0.0006443373753044074,coughvid_internal_opensmile_egemaps_predictions,xgboost,cough,all,,coughvid,platt,test
1,0.1,0.2,17,4,13,0.11253246805963317,0.23529411764705882,-0.12276164958742565,0.12276164958742565,coughvid_internal_opensmile_egemaps_predictions,xgboost,cough,all,,coughvid,platt,test
0,0.0,0.1,1667,57,1610,0.03425023514991845,0.03419316136772645,5.7073782191996436e-05,5.7073782191996436e-05,coughvid_internal_panns_predictions,catboost,cough,all,,coughvid,platt,test
0,0.0,0.1,1667,57,1610,0.034205836489079815,0.03419316136772645,1.2675121353361574e-05,1.2675121353361574e-05,coughvid_internal_panns_predictions,lightgbm,cough,all,,coughvid,platt,test
0,0.0,0.1,1667,57,1610,0.03417503569262011,0.03419316136772645,-1.8125675106346606e-05,1.8125675106346606e-05,coughvid_internal_panns_predictions,logistic_regression,cough,all,,coughvid,platt,test
0,0.0,0.1,1667,57,1610,0.03421709624130458,0.03419316136772645,2.3934873578129734e-05,2.3934873578129734e-05,coughvid_internal_panns_predictions,random_forest,cough,all,,coughvid,platt,test
0,0.0,0.1,1667,57,1610,0.034131044012506856,0.03419316136772645,-6.211735521959721e-05,6.211735521959721e-05,coughvid_internal_panns_predictions,xgboost,cough,all,,coughvid,platt,test
0,0.0,0.1,1657,55,1602,0.033384148161946146,0.0331925165962583,0.0001916315656878484,0.0001916315656878484,coughvid_internal_predictions,catboost,cough,all,,coughvid,platt,test
1,0.1,0.2,10,2,8,0.13028274138055101,0.2,-0.069717258619449,0.069717258619449,coughvid_internal_predictions,catboost,cough,all,,coughvid,platt,test
0,0.0,0.1,1667,57,1610,0.03413324612636335,0.03419316136772645,-5.991524136310378e-05,5.991524136310378e-05,coughvid_internal_predictions,lightgbm,cough,all,,coughvid,platt,test
0,0.0,0.1,1585,41,1544,0.02778562966353025,0.025867507886435333,0.001918121777094918,0.001918121777094918,coughvid_internal_predictions,logistic_regression,cough,all,,coughvid,platt,test
1,0.1,0.2,82,16,66,0.11258374576697454,0.1951219512195122,-0.08253820545253766,0.08253820545253766,coughvid_internal_predictions,logistic_regression,cough,all,,coughvid,platt,test
0,0.0,0.1,1667,57,1610,0.034101153124204205,0.03419316136772645,-9.200824352224857e-05,9.200824352224857e-05,coughvid_internal_predictions,random_forest,cough,all,,coughvid,platt,test
0,0.0,0.1,1638,53,1585,0.03155952331820559,0.03235653235653236,-0.0007970090383267667,0.0007970090383267667,coughvid_internal_predictions,xgboost,cough,all,,coughvid,platt,test
1,0.1,0.2,27,2,25,0.12523463481285968,0.07407407407407407,0.05116056073878561,0.05116056073878561,coughvid_internal_predictions,xgboost,cough,all,,coughvid,platt,test
2,0.2,0.30000000000000004,2,2,0,0.24729586514712684,1.0,-0.7527041348528731,0.7527041348528731,coughvid_internal_predictions,xgboost,cough,all,,coughvid,platt,test
0,0.0,0.1,1119,39,1080,0.06306401708884828,0.03485254691689008,0.028211470171958193,0.028211470171958193,cross_dataset_predictions,logistic_regression,cough,,,coughvid,,external
1,0.1,0.2,1835,64,1771,0.151864205216255,0.03487738419618529,0.1169868210200697,0.1169868210200697,cross_dataset_predictions,logistic_regression,cough,,,coughvid,,external
2,0.2,0.30000000000000004,1678,42,1636,0.24685662452855653,0.025029797377830752,0.22182682715072577,0.22182682715072577,cross_dataset_predictions,logistic_regression,cough,,,coughvid,,external
3,0.30000000000000004,0.4,1225,32,1193,0.3485977599688416,0.026122448979591838,0.3224753109892498,0.3224753109892498,cross_dataset_predictions,logistic_regression,cough,,,coughvid,,external
4,0.4,0.5,908,42,866,0.44828021576850874,0.046255506607929514,0.4020247091605792,0.4020247091605792,cross_dataset_predictions,logistic_regression,cough,,,coughvid,,external
5,0.5,0.6000000000000001,652,26,626,0.5454698262015647,0.03987730061349693,0.5055925255880678,0.5055925255880678,cross_dataset_predictions,logistic_regression,cough,,,coughvid,,external
6,0.6000000000000001,0.7000000000000001,427,21,406,0.6437349261968084,0.04918032786885246,0.5945545983279559,0.5945545983279559,cross_dataset_predictions,logistic_regression,cough,,,coughvid,,external
7,0.7000000000000001,0.8,286,7,279,0.7453200816879609,0.024475524475524476,0.7208445572124365,0.7208445572124365,cross_dataset_predictions,logistic_regression,cough,,,coughvid,,external
8,0.8,0.9,152,7,145,0.847076338834842,0.046052631578947366,0.8010237072558947,0.8010237072558947,cross_dataset_predictions,logistic_regression,cough,,,coughvid,,external
9,0.9,1.0,49,5,44,0.9320120573992621,0.10204081632653061,0.8299712410727315,0.8299712410727315,cross_dataset_predictions,logistic_regression,cough,,,coughvid,,external
0,0.0,0.1,122,1,121,0.09787836616568452,0.00819672131147541,0.08968164485420911,0.08968164485420911,external_model_grid_beats_predictions,catboost,cough,all,,coughvid,platt,external
1,0.1,0.2,4075,147,3928,0.1448202484816451,0.03607361963190184,0.10874662884974326,0.10874662884974326,external_model_grid_beats_predictions,catboost,cough,all,,coughvid,platt,external
2,0.2,0.30000000000000004,1744,54,1690,0.243811982552346,0.03096330275229358,0.21284867980005243,0.21284867980005243,external_model_grid_beats_predictions,catboost,cough,all,,coughvid,platt,external
3,0.30000000000000004,0.4,1009,38,971,0.3450133782782653,0.03766105054509415,0.3073523277331711,0.3073523277331711,external_model_grid_beats_predictions,catboost,cough,all,,coughvid,platt,external
4,0.4,0.5,658,26,632,0.44562894209523407,0.03951367781155015,0.40611526428368394,0.40611526428368394,external_model_grid_beats_predictions,catboost,cough,all,,coughvid,platt,external
5,0.5,0.6000000000000001,397,8,389,0.5437334002971868,0.020151133501259445,0.5235822667959273,0.5235822667959273,external_model_grid_beats_predictions,catboost,cough,all,,coughvid,platt,external
6,0.6000000000000001,0.7000000000000001,246,9,237,0.6452981413837217,0.036585365853658534,0.6087127755300631,0.6087127755300631,external_model_grid_beats_predictions,catboost,cough,all,,coughvid,platt,external
7,0.7000000000000001,0.8,78,2,76,0.7347234376007397,0.02564102564102564,0.709082411959714,0.709082411959714,external_model_grid_beats_predictions,catboost,cough,all,,coughvid,platt,external
8,0.8,0.9,2,0,2,0.8099035480292487,0.0,0.8099035480292487,0.8099035480292487,external_model_grid_beats_predictions,catboost,cough,all,,coughvid,platt,external
0,0.0,0.1,174,7,167,0.09693683968166518,0.040229885057471264,0.056706954624193916,0.056706954624193916,external_model_grid_beats_predictions,catboost,cough,drop_high_shift,,coughvid,platt,external
1,0.1,0.2,3805,134,3671,0.14436044083456065,0.03521681997371879,0.10914362086084187,0.10914362086084187,external_model_grid_beats_predictions,catboost,cough,drop_high_shift,,coughvid,platt,external
2,0.2,0.30000000000000004,1754,55,1699,0.24418263889961211,0.03135689851767389,0.21282574038193822,0.21282574038193822,external_model_grid_beats_predictions,catboost,cough,drop_high_shift,,coughvid,platt,external
3,0.30000000000000004,0.4,1014,38,976,0.34625934631973676,0.03747534516765286,0.30878400115208393,0.30878400115208393,external_model_grid_beats_predictions,catboost,cough,drop_high_shift,,coughvid,platt,external
4,0.4,0.5,711,26,685,0.4473466819242892,0.03656821378340366,0.4107784681408856,0.4107784681408856,external_model_grid_beats_predictions,catboost,cough,drop_high_shift,,coughvid,platt,external
5,0.5,0.6000000000000001,476,17,459,0.5458380448955186,0.03571428571428571,0.5101237591812329,0.5101237591812329,external_model_grid_beats_predictions,catboost,cough,drop_high_shift,,coughvid,platt,external
