prediction_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,split,n_samples,n_positive,n_negative,observed_prevalence,mean_probability,calibration_gap,ece,mce,brier,nll,n_bins,non_empty_bins
coughvid_internal_beats_predictions,catboost,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03398530454302968,-0.00020785682469677547,0.0005667422940431254,0.2152094551565697,0.03268418022426083,0.14525377379565854,10,2
coughvid_internal_beats_predictions,lightgbm,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03418105269216882,-1.2108675557634396e-05,1.2108675557634396e-05,1.2108675557634396e-05,0.03298209405763776,0.14843860152502986,10,1
coughvid_internal_beats_predictions,logistic_regression,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03400508175946776,-0.00018807960825869413,0.005255322580000908,0.055330191755053354,0.03209855044004505,0.14042325192016403,10,2
coughvid_internal_beats_predictions,random_forest,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.034158967776838446,-3.4193590888007e-05,3.4193590888007e-05,3.4193590888007e-05,0.032930077728691755,0.14768454759358532,10,1
coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03338360117548947,-0.0008095601922369841,0.0019890404916549933,0.09281336049724462,0.03178350270794727,0.13712143108459612,10,3
coughvid_internal_opensmile_egemaps_predictions,catboost,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03419204256828321,-1.1187994432421133e-06,0.0009137614386342461,0.3812763392187938,0.032664485555349794,0.1448736040154446,10,2
coughvid_internal_opensmile_egemaps_predictions,lightgbm,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03415749774089426,-3.566362683219554e-05,0.00016983162417651715,0.1118290257865009,0.03284056172202065,0.1468267793127213,10,2
coughvid_internal_opensmile_egemaps_predictions,logistic_regression,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03339078216484647,-0.0008023792028799825,0.0008023792028799851,0.23233023004179376,0.03202422103560961,0.13639090723859157,10,2
coughvid_internal_opensmile_egemaps_predictions,random_forest,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03416181064376349,-3.13507239629654e-05,3.13507239629654e-05,3.13507239629654e-05,0.03294077439556047,0.14780888013271437,10,1
coughvid_internal_opensmile_egemaps_predictions,xgboost,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03357900937388484,-0.0006141519938416135,0.0018896848903650321,0.12276164958742565,0.03222792015676695,0.1398375644848799,10,2
coughvid_internal_panns_predictions,catboost,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03425023514991845,5.7073782191996436e-05,5.7073782191996436e-05,5.7073782191996436e-05,0.03297205450781622,0.14824705863373733,10,1
coughvid_internal_panns_predictions,lightgbm,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.034205836489079815,1.2675121353361574e-05,1.2675121353361574e-05,1.2675121353361574e-05,0.03301642445029013,0.14891670738047474,10,1
coughvid_internal_panns_predictions,logistic_regression,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03417503569262011,-1.8125675106346606e-05,1.8125675106346606e-05,1.8125675106346606e-05,0.03294842934334217,0.1480334150559536,10,1
coughvid_internal_panns_predictions,random_forest,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03421709624130458,2.3934873578129734e-05,2.3934873578129734e-05,2.3934873578129734e-05,0.032998843647614684,0.14865279123144184,10,1
coughvid_internal_panns_predictions,xgboost,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.034131044012506856,-6.211735521959721e-05,6.211735521959721e-05,6.211735521959721e-05,0.03283868628690564,0.146367738253913,10,1
coughvid_internal_predictions,catboost,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03396542346619692,-0.00022773790152953027,0.0006087019139407648,0.069717258619449,0.032414065433896085,0.1424845469117705,10,2
coughvid_internal_predictions,lightgbm,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03413324612636335,-5.991524136310378e-05,5.991524136310378e-05,5.991524136310378e-05,0.03284988419115771,0.1470271025701849,10,1
coughvid_internal_predictions,logistic_regression,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03195686272920658,-0.0022362986385198735,0.005883836750931933,0.08253820545253766,0.03204162442381806,0.13935004271429963,10,2
coughvid_internal_predictions,random_forest,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.034101153124204205,-9.200824352224857e-05,9.200824352224857e-05,9.200824352224857e-05,0.032947452839258685,0.14790204137727436,10,1
coughvid_internal_predictions,xgboost,cough,all,,coughvid,platt,test,1667,57,1610,0.03419316136772645,0.03333558852157302,-0.0008575728461534329,0.0025148435599473312,0.7527041348528731,0.03194775276999774,0.1385999770318142,10,3
cross_dataset_predictions,logistic_regression,cough,,,coughvid,,external,8331,285,8046,0.03420957868203097,0.31396500268640953,0.2797554240043786,0.2797554240043786,0.8299712410727315,0.1511964385379642,0.47213792582478215,10,10
external_model_grid_beats_predictions,catboost,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.25233079478033094,0.21812121609829996,0.21812121609829999,0.8099035480292487,0.10250170701778409,0.35788267154783804,10,9
external_model_grid_beats_predictions,catboost,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2628241584786071,0.2286145797965761,0.22861457979657612,0.80996202559924,0.10989007430125106,0.3744900610800053,10,9
external_model_grid_beats_predictions,catboost,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3001673576641206,0.26595777898208967,0.26595777898208967,0.7180869953265807,0.1318625587490657,0.42691003874080996,10,8
external_model_grid_beats_predictions,catboost,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.30665041749339816,0.2724408388113672,0.27244083881136716,0.7091813135088448,0.1332056006545867,0.4307900377751246,10,8
external_model_grid_beats_predictions,catboost,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3052678854601649,0.271058306778134,0.271058306778134,0.8065950796228345,0.1341019308816761,0.4329959830914133,10,9
