table_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,split,threshold,sensitivity,specificity,precision,npv,f1,balanced_accuracy,tp,fp,tn,fn,n_samples,n_positive,n_negative,operating_constraint,target_specificity,target_sensitivity
coughvid_internal_beats_predictions,catboost,cough,all,,coughvid,platt,test,0.0340730383118122,0.543859649122807,0.8043478260869565,0.08959537572254335,0.9803179409538229,0.15384615384615383,0.6741037376048817,31.0,315.0,1295.0,26.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_beats_predictions,catboost,cough,all,,coughvid,platt,test,0.0358574745591091,0.43859649122807015,0.9006211180124224,0.13513513513513514,0.9784075573549258,0.2066115702479339,0.6696088046202463,25.0,160.0,1450.0,32.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_beats_predictions,catboost,cough,all,,coughvid,platt,test,0.0384879577147554,0.3157894736842105,0.9503105590062112,0.1836734693877551,0.9751434034416826,0.23225806451612904,0.6330500163452109,18.0,80.0,1530.0,39.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_beats_predictions,catboost,cough,all,,coughvid,platt,test,0.0325535839657235,0.8070175438596491,0.3937888198757764,0.04500978473581213,0.9829457364341085,0.08526413345690455,0.6004031818677127,46.0,976.0,634.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_beats_predictions,catboost,cough,all,,coughvid,platt,test,0.032446330839055,0.9122807017543859,0.3024844720496894,0.04425531914893617,0.9898373983739838,0.08441558441558442,0.6073825869020377,52.0,1123.0,487.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_beats_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0341171191344248,0.5614035087719298,0.8198757763975155,0.09937888198757763,0.9814126394052045,0.16886543535620052,0.6906396425847227,32.0,290.0,1320.0,25.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_beats_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0342095743322399,0.43859649122807015,0.9111801242236025,0.1488095238095238,0.9786524349566378,0.2222222222222222,0.6748883077258363,25.0,143.0,1467.0,32.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_beats_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0343624462221636,0.2631578947368421,0.9509316770186336,0.1595744680851064,0.9732994278448824,0.19867549668874174,0.6070447858777378,15.0,79.0,1531.0,42.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_beats_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0340680769939571,0.8070175438596491,0.5409937888198758,0.05859872611464968,0.9875283446712018,0.10926365795724466,0.6740056663397624,46.0,739.0,871.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_beats_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0340588295902538,0.9122807017543859,0.3347826086956522,0.04630454140694568,0.9908088235294118,0.08813559322033898,0.6235316552250191,52.0,1071.0,539.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_beats_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0277735765725532,0.45614035087719296,0.8055900621118013,0.07669616519174041,0.9766566265060241,0.13131313131313133,0.6308652064944971,26.0,313.0,1297.0,31.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_beats_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.056064114331343,0.3333333333333333,0.922360248447205,0.13194444444444445,0.9750492449113591,0.1890547263681592,0.6278467908902692,19.0,125.0,1485.0,38.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_beats_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0907504596056273,0.2631578947368421,0.9509316770186336,0.1595744680851064,0.9732994278448824,0.19867549668874174,0.6070447858777378,15.0,79.0,1531.0,42.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_beats_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0270876427871264,0.8070175438596491,0.46770186335403724,0.05094130675526024,0.9856020942408377,0.09583333333333333,0.6373597036068431,46.0,857.0,753.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_beats_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0270858681306445,0.9122807017543859,0.21055900621118012,0.039304610733182165,0.9854651162790697,0.07536231884057971,0.561419853982783,52.0,1271.0,339.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_beats_predictions,random_forest,cough,all,,coughvid,platt,test,0.0347452680740569,0.5263157894736842,0.8074534161490683,0.08823529411764706,0.9796533534287868,0.15113350125944586,0.6668846028113762,30.0,310.0,1300.0,27.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_beats_predictions,random_forest,cough,all,,coughvid,platt,test,0.0355111564215238,0.38596491228070173,0.901863354037267,0.12222222222222222,0.976462676529926,0.18565400843881855,0.6439141331589844,22.0,158.0,1452.0,35.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_beats_predictions,random_forest,cough,all,,coughvid,platt,test,0.0364392520396271,0.22807017543859648,0.9521739130434783,0.14444444444444443,0.9720989220038047,0.17687074829931973,0.5901220442410374,13.0,77.0,1533.0,44.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_beats_predictions,random_forest,cough,all,,coughvid,platt,test,0.0339266780743587,0.8070175438596491,0.5590062111801242,0.06084656084656084,0.9879253567508233,0.11316113161131612,0.6830118775198866,46.0,710.0,900.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_beats_predictions,random_forest,cough,all,,coughvid,platt,test,0.0337977686806733,0.9122807017543859,0.5043478260869565,0.0611764705882353,0.9938800489596084,0.11466372657111357,0.7083142639206712,52.0,798.0,812.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test,0.0352414168500154,0.5789473684210527,0.8062111801242235,0.09565217391304348,0.9818456883509834,0.16417910447761194,0.6925792742726381,33.0,312.0,1298.0,24.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test,0.0523858777680947,0.40350877192982454,0.9341614906832298,0.17829457364341086,0.9778933680104032,0.24731182795698922,0.6688351313065272,23.0,106.0,1504.0,34.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test,0.0606289181462656,0.3333333333333333,0.9509316770186336,0.19387755102040816,0.975780752071383,0.24516129032258058,0.6421325051759834,19.0,79.0,1531.0,38.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test,0.0258391193945533,0.8070175438596491,0.4403726708074534,0.048574445617740235,0.9847222222222223,0.09163346613545816,0.6236951073335513,46.0,901.0,709.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test,0.0249081797342971,0.9122807017543859,0.32298136645962733,0.04553415061295972,0.9904761904761905,0.08673894912427023,0.6176310341070066,52.0,1090.0,520.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
