recalibration_method,n_samples,n_positive,n_negative,observed_prevalence,mean_probability,calibration_gap,ece,mce,brier,nll,n_bins,non_empty_bins,abs_calibration_gap,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,threshold,prediction_source,model_name,modality,feature_strategy,dataset,calibration_method,split,source_prevalence_for_offset,target_prevalence_for_offset,prevalence_offset
source_calibrated,8331,285,8046,0.03420957868203097,0.31396500268640953,0.2797554240043786,0.2797554240043786,0.8299712410727315,0.1511964385379642,0.47213792582478215,10,10,0.2797554240043786,0.5294796150206488,0.043007339274520016,0.5225754542956945,0.23157894736842105,0.8135719612229679,0.0713128038897893,0.5,cross_dataset_predictions,logistic_regression,cough,,coughvid,,external,0.31396500268640953,0.03420957868203097,-2.5587940526081976
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04926465423945016,0.015055075557419188,0.019224484158556095,0.7492886051443439,0.03696974604221823,0.1698155026168804,10,9,0.015055075557419188,0.5294796150206488,0.043007339274520016,0.5039581616232977,0.010526315789473684,0.9973900074571216,0.019417475728155338,0.5,cross_dataset_predictions,logistic_regression,cough,,coughvid,,external,0.31396500268640953,0.03420957868203097,-2.5587940526081976
source_calibrated,8331,285,8046,0.03420957868203097,0.25233079478033094,0.21812121609829996,0.21812121609829999,0.8099035480292487,0.10250170701778409,0.35788267154783804,10,9,0.21812121609829996,0.4964122959648687,0.03369478622991107,0.48958488690032315,0.06666666666666667,0.9125031071339796,0.037698412698412696,0.5,external_model_grid_beats_predictions,catboost,cough,all,coughvid,platt,external,0.25233079478033094,0.03420957868203097,-2.254221435497259
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04048406096746257,0.0062744822854316,0.01179913212474956,0.3214046870763088,0.03463297776915109,0.16111354404254197,10,4,0.0062744822854316,0.4964122959648687,0.03369478622991107,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,catboost,cough,all,coughvid,platt,external,0.25233079478033094,0.03420957868203097,-2.254221435497259
source_calibrated,8331,285,8046,0.03420957868203097,0.2628241584786071,0.2286145797965761,0.22861457979657612,0.80996202559924,0.10989007430125106,0.3744900610800053,10,9,0.2286145797965761,0.49546336634526905,0.03296007957950069,0.49116265682849924,0.08771929824561403,0.8946060154113845,0.04317789291882556,0.5,external_model_grid_beats_predictions,catboost,cough,drop_high_shift,coughvid,platt,external,0.2628241584786071,0.03420957868203097,-2.3090999271970785
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.041206735019451594,0.006997156337420624,0.013030911415615262,0.3079422363834209,0.03485060252605561,0.16251234014406765,10,4,0.006997156337420624,0.49546336634526905,0.03296007957950069,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,catboost,cough,drop_high_shift,coughvid,platt,external,0.2628241584786071,0.03420957868203097,-2.3090999271970785
source_calibrated,8331,285,8046,0.03420957868203097,0.3001673576641206,0.26595777898208967,0.26595777898208967,0.7180869953265807,0.1318625587490657,0.42691003874080996,10,8,0.26595777898208967,0.4941228288219928,0.03254914560121062,0.4929033059905543,0.13333333333333333,0.8524732786477753,0.05033112582781457,0.5,external_model_grid_beats_predictions,catboost,cough,top_stable_120,coughvid,platt,external,0.3001673576641206,0.03420957868203097,-2.4939401261509246
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04203593253782921,0.007826353855798239,0.014819048165763377,0.21412382260705015,0.034811441941493236,0.16298510652642753,10,3,0.007826353855798239,0.4941228288219928,0.03254914560121062,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,catboost,cough,top_stable_120,coughvid,platt,external,0.3001673576641206,0.03420957868203097,-2.4939401261509246
source_calibrated,8331,285,8046,0.03420957868203097,0.30665041749339816,0.2724408388113672,0.27244083881136716,0.7091813135088448,0.1332056006545867,0.4307900377751246,10,8,0.2724408388113672,0.516198525147071,0.036210563556120706,0.5028225859204312,0.15789473684210525,0.8477504349987571,0.05787781350482315,0.5,external_model_grid_beats_predictions,catboost,cough,top_stable_50,coughvid,platt,external,0.30665041749339816,0.03420957868203097,-2.5246152457174307
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.041459667281531415,0.007250088599500444,0.009524156952175889,0.1595789098908641,0.03433089246598701,0.1596212399046313,10,3,0.007250088599500444,0.516198525147071,0.036210563556120706,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,catboost,cough,top_stable_50,coughvid,platt,external,0.30665041749339816,0.03420957868203097,-2.5246152457174307
