baseline_name,candidate_name,model_column,metric,baseline_value,candidate_value,difference,ci_low,ci_high,p_two_sided_bootstrap,confidence,n_bootstraps,n_matched,prediction_source,baseline_model,baseline_strategy,comparison_type
logistic_regression/all,logistic_regression/top_stable_50,comparison_name,auroc,0.5098656409853867,0.534794231414978,0.02492859042959128,-0.0238969627165771,0.07154049499275694,0.304,0.95,1000,8331,external_model_grid_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/top_stable_50,comparison_name,auprc,0.037953942801198945,0.04217596348257965,0.004222020681380702,-0.005001495587988335,0.014306176278204005,0.314,0.95,1000,8331,external_model_grid_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/top_stable_50,comparison_name,brier,0.08454845393574144,0.11509225252725755,0.03054379859151611,0.02886156682286685,0.03206365001443587,0.0,0.95,1000,8331,external_model_grid_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/top_stable_50,comparison_name,ece,0.20223241289910474,0.28451189703495494,0.0822794841358502,0.08009423994385073,0.08438334611547267,0.0,0.95,1000,8331,external_model_grid_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/drop_high_shift,comparison_name,auroc,0.5469528282550772,0.551946483160424,0.004993654905346867,-0.009086604823543969,0.017829451932474868,0.474,0.95,1000,8331,external_model_grid_opensmile_egemaps_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/drop_high_shift,comparison_name,auprc,0.038937394785215684,0.03911401509411196,0.00017662030889627894,-0.00235593589257134,0.003260845171333399,0.87,0.95,1000,8331,external_model_grid_opensmile_egemaps_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/drop_high_shift,comparison_name,brier,0.07042277717966451,0.08046916805696272,0.010046390877298209,0.009315389333958474,0.010780250294442947,0.0,0.95,1000,8331,external_model_grid_opensmile_egemaps_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/drop_high_shift,comparison_name,ece,0.157749882594171,0.18047197276055296,0.022722090166381964,0.021711503385005635,0.023711508135184203,0.0,0.95,1000,8331,external_model_grid_opensmile_egemaps_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/drop_high_shift,comparison_name,auroc,0.541583264649319,0.5529926606224734,0.01140939597315438,0.00174615112577822,0.02098636525440055,0.022,0.95,1000,8331,external_model_grid_beats_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/drop_high_shift,comparison_name,auprc,0.037862025178125765,0.039362181836552976,0.001500156658427211,-0.0006919720180354723,0.0034530175660100327,0.108,0.95,1000,8331,external_model_grid_beats_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/drop_high_shift,comparison_name,brier,0.08972270015173908,0.09148888903376327,0.0017661888820241917,0.0010188467629870346,0.0025438983423814792,0.0,0.95,1000,8331,external_model_grid_beats_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/drop_high_shift,comparison_name,ece,0.2001005648278299,0.20056880445600064,0.0004682396281707468,-0.0005655424680206097,0.001492067270385981,0.392,0.95,1000,8331,external_model_grid_beats_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/drop_high_shift,comparison_name,auroc,0.4988181988652965,0.5024390456628771,0.0036208467975806236,-0.005403958451061313,0.011911571749450307,0.388,0.95,1000,8331,external_model_grid_panns_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/drop_high_shift,comparison_name,auprc,0.03468428078332398,0.034893436179714535,0.00020915539639055486,-0.000807938956831489,0.0010801850715965282,0.666,0.95,1000,8331,external_model_grid_panns_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/drop_high_shift,comparison_name,brier,0.11159855030142042,0.11514457138340482,0.003546021081984402,0.0031753002116172613,0.003960295204147219,0.0,0.95,1000,8331,external_model_grid_panns_predictions,logistic_regression,all,best_auroc_vs_logistic_all
logistic_regression/all,logistic_regression/drop_high_shift,comparison_name,ece,0.26391075206775766,0.2713951411929547,0.007484389125197055,0.006976185355354809,0.00801712206656591,0.0,0.95,1000,8331,external_model_grid_panns_predictions,logistic_regression,all,best_auroc_vs_logistic_all
