table_source,evaluation_protocol,analysis_family,model_name,modality,feature_strategy,n_samples,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,ece,nll
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,737,0.807,0.726,0.746,0.696,0.797,0.657,0.160,0.092,0.540
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,410,0.811,0.738,0.735,0.669,0.801,0.643,0.162,0.086,0.524
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.797,0.729,0.740,0.604,0.875,0.649,0.158,0.071,0.496
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,410,0.806,0.735,0.737,0.571,0.903,0.644,0.154,0.071,0.478
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.802,0.727,0.752,0.642,0.863,0.667,0.159,0.067,0.495
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,410,0.800,0.716,0.708,0.571,0.845,0.603,0.162,0.056,0.492
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,737,0.824,0.726,0.750,0.617,0.883,0.664,0.150,0.040,0.467
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,410,0.811,0.731,0.719,0.556,0.881,0.617,0.155,0.043,0.477
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,737,0.824,0.738,0.752,0.596,0.907,0.667,0.156,0.087,0.512
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,410,0.847,0.788,0.759,0.619,0.899,0.678,0.139,0.075,0.453
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.832,0.744,0.756,0.708,0.803,0.669,0.147,0.027,0.457
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,410,0.837,0.782,0.750,0.746,0.754,0.662,0.143,0.075,0.444
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.821,0.736,0.749,0.671,0.827,0.661,0.152,0.035,0.470
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,410,0.829,0.768,0.748,0.724,0.772,0.660,0.148,0.069,0.459
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,737,0.829,0.754,0.763,0.729,0.797,0.678,0.146,0.036,0.456
