artifact,rows,columns
data/outputs/metrics/calibration_metrics.csv,12,14
data/outputs/metrics/cnn_metrics.csv,1,13
data/outputs/metrics/cnn_metrics_10epoch_cough.csv,1,13
data/outputs/metrics/cnn_metrics_cnn_bigru_breath.csv,1,18
data/outputs/metrics/cnn_metrics_cnn_bigru_cough.csv,1,18
data/outputs/metrics/cnn_metrics_cnn_bigru_speech.csv,1,18
data/outputs/metrics/cnn_metrics_residual_cnn_breath.csv,1,18
data/outputs/metrics/cnn_metrics_residual_cnn_cough.csv,1,18
data/outputs/metrics/cnn_metrics_residual_cnn_speech.csv,1,18
data/outputs/metrics/cnn_metrics_smoke_cough.csv,1,13
data/outputs/metrics/cnn_training_history.csv,22,3
data/outputs/metrics/cnn_training_history_10epoch_cough.csv,10,3
data/outputs/metrics/cnn_training_history_cnn_bigru_breath.csv,5,4
data/outputs/metrics/cnn_training_history_cnn_bigru_cough.csv,5,4
data/outputs/metrics/cnn_training_history_cnn_bigru_speech.csv,5,4
data/outputs/metrics/cnn_training_history_residual_cnn_breath.csv,5,4
data/outputs/metrics/cnn_training_history_residual_cnn_cough.csv,5,4
data/outputs/metrics/cnn_training_history_residual_cnn_speech.csv,5,4
data/outputs/metrics/cnn_training_history_smoke_cough.csv,1,3
data/outputs/metrics/compare_is10_external_transfer_metrics.csv,4,22
data/outputs/metrics/compare_is10_final_validation_metrics.csv,258,26
data/outputs/metrics/confounding_controlled_audio_metrics.csv,2,14
data/outputs/metrics/coughvid_internal_beats_metrics.csv,5,20
data/outputs/metrics/coughvid_internal_metrics.csv,5,20
data/outputs/metrics/coughvid_internal_metrics_smoke.csv,2,20
data/outputs/metrics/coughvid_internal_opensmile_egemaps_metrics.csv,5,20
data/outputs/metrics/coughvid_internal_panns_metrics.csv,5,20
data/outputs/metrics/cross_dataset_metrics.csv,1,16
data/outputs/metrics/domain_adaptation_baseline_metrics.csv,16,24
data/outputs/metrics/domain_shift_audit_metrics.csv,4,18
data/outputs/metrics/external_model_grid_beats_metrics.csv,25,19
data/outputs/metrics/external_model_grid_metrics.csv,25,19
data/outputs/metrics/external_model_grid_metrics_smoke.csv,6,19
data/outputs/metrics/external_model_grid_opensmile_egemaps_metrics.csv,25,19
data/outputs/metrics/external_model_grid_panns_metrics.csv,10,19
data/outputs/metrics/fusion_metrics.csv,2,12
data/outputs/metrics/ipw_sensitivity_metrics.csv,13,24
data/outputs/metrics/matched_subset_metrics.csv,1,11
data/outputs/metrics/metadata_baseline_metrics.csv,1,13
data/outputs/metrics/metadata_confounding_metrics.csv,3,22
data/outputs/metrics/ml_baseline_metrics.csv,12,13
data/outputs/metrics/ml_validation_metrics.csv,12,14
data/outputs/metrics/paper_comparable_cv_metrics.csv,84,33
data/outputs/metrics/paper_comparable_cv_speech_metrics.csv,84,33
data/outputs/metrics/quality_weighted_fusion_metrics.csv,1,12
data/outputs/metrics/sota_compare_is10_metrics.csv,570,26
data/outputs/metrics/sota_gated_stack_metrics.csv,6,23
data/outputs/metrics/sota_ssl_history_practical_wavlm_breath.csv,5,6
data/outputs/metrics/sota_ssl_history_practical_wavlm_cough.csv,8,6
data/outputs/metrics/sota_ssl_metrics_practical_wavlm_breath.csv,4,20
data/outputs/metrics/sota_ssl_metrics_practical_wavlm_cough.csv,4,20
data/outputs/metrics/sota_swarm_feature_metrics.csv,6,23
data/outputs/metrics/strong_baseline_metrics.csv,190,24
data/outputs/metrics/subgroup_metrics.csv,11,15
data/outputs/metrics/temporal_holdout_metrics.csv,42,31
reports/tables/calibration_under_shift_bins.csv,642,18
reports/tables/calibration_under_shift_summary.csv,107,20
reports/tables/clinical_operating_points.csv,535,25
reports/tables/compare_is10_final_validation_modality_coverage.csv,27,7
reports/tables/compare_is10_final_validation_split_summary.csv,9,9
reports/tables/compare_is10_final_validation_summary.csv,3,27
reports/tables/confounding_balance.csv,2,6
reports/tables/confounding_controlled_balance.csv,33,5
reports/tables/coswara_layout_audit.csv,27535,7
reports/tables/dataset_audit.csv,9,5
reports/tables/domain_adaptation_mmd.csv,8,9
reports/tables/domain_shift_feature_importance.csv,2696,6
reports/tables/external_prevalence_recalibration.csv,172,31
reports/tables/feature_shift_beats_cough.csv,772,10
reports/tables/feature_shift_beats_summary.csv,1,4
reports/tables/feature_shift_opensmile_egemaps_cough.csv,92,10
reports/tables/feature_shift_opensmile_egemaps_summary.csv,1,4
reports/tables/feature_shift_panns_cough.csv,2052,10
reports/tables/feature_shift_panns_summary.csv,1,4
reports/tables/feature_shift_report.csv,253,10
reports/tables/feature_shift_summary.csv,1,4
reports/tables/ipw_sensitivity_balance.csv,429,9
reports/tables/manuscript_demographic_protocol_linear_shap.csv,45,11
reports/tables/manuscript_external_auprc_lift.csv,4,10
reports/tables/manuscript_ipw_residual_smd.csv,33,12
reports/tables/manuscript_unknown_label_balance.csv,64,7
reports/tables/manuscript_unknown_label_summary.csv,2,14
reports/tables/metadata_confounding_feature_importance.csv,118,6
reports/tables/metadata_confounding_group_summary.csv,7,10
reports/tables/paired_bootstrap_comparisons.csv,16,17
reports/tables/paper_comparable_cv_cough_speech_aggregate.csv,8,34
reports/tables/paper_comparable_cv_cough_speech_combined.csv,168,34
reports/tables/paper_comparable_cv_feature_selection.csv,101400,14
reports/tables/paper_comparable_cv_metric_table.csv,84,16
