section,protocol,model_or_family,modality,auroc,auprc,balanced_accuracy,f1,source_file,interpretation
final_validation,compare_is10_existing_participant_split,strong_baseline_selected_fusion,cough+speech,0.8971050684424714,0.8627298641826996,0.824685534591195,0.7522123893805309,reports/tables/compare_is10_final_validation_summary.csv,Final selected result for this protocol.
final_validation,compare_is10_time_stratified_participant_split,strong_baseline_selected_fusion,cough+breath+speech,0.8492605233219568,0.7829554031956836,0.7834001088193105,0.7050359712230215,reports/tables/compare_is10_final_validation_summary.csv,Final selected result for this protocol.
final_validation,compare_is10_temporal_early_to_late,top_4_validation_ensemble,,0.6979960317460316,0.8963711043036492,0.65625,0.7508650519031141,reports/tables/compare_is10_final_validation_summary.csv,Final selected result for this protocol.
external_transfer,coswara_to_coughvid_compare_is10_external,lightgbm_smote_f80,cough,0.5427764040974921,0.0404853138775071,0.5101639258474299,0.0583232077764277,data/outputs/metrics/compare_is10_external_transfer_metrics.csv,Best final Coswara-to-COUGHVID transfer; near-random AUROC and low AUPRC due severe domain/label shift.
paper_comparable_cv,paper_comparable_10fold_cv,svc_rbf_f60,cough,0.8194661754302122,0.7281636422154759,0.7371050029209538,0.6445721583178494,reports/tables/paper_comparable_cv_cough_speech_aggregate.csv,"Recording-level 10-fold CV intended only as paper-style comparison, not final deployment evidence."
paper_comparable_cv,paper_comparable_10fold_cv,lightgbm_smote_f80,cough,0.8191557338528197,0.7318130789511696,0.7321417660823449,0.6378699446577231,reports/tables/paper_comparable_cv_cough_speech_aggregate.csv,"Recording-level 10-fold CV intended only as paper-style comparison, not final deployment evidence."
strong_baseline,clean_internal_protocol,strong_baseline_selected_fusion,cough+breath+speech,0.8908544882924312,0.845578951589023,0.8359532635728028,0.7835051546391752,data/outputs/metrics/strong_baseline_metrics.csv,Best pre-ComParE/IS10 strong acoustic model bank result.
metadata_confounding,full_safe_metadata,metadata_confounding_logistic_regression,metadata,0.9638209444486256,0.9276594487348628,0.8897845011414667,0.8489054991991457,data/outputs/metrics/metadata_confounding_metrics.csv,Non-audio metadata predicts labels strongly; limits causal claims about audio.
metadata_confounding,symptoms_only,metadata_confounding_logistic_regression,metadata,0.93172273650937,0.8977476322248188,0.9117182208173402,0.8761904761904762,data/outputs/metrics/metadata_confounding_metrics.csv,Non-audio metadata predicts labels strongly; limits causal claims about audio.
metadata_confounding,demographic_protocol_only,metadata_confounding_logistic_regression,metadata,0.9137823380692351,0.7370032811410646,0.8271292742279421,0.7507029053420806,data/outputs/metrics/metadata_confounding_metrics.csv,Non-audio metadata predicts labels strongly; limits causal claims about audio.
temporal_stress,existing_participant_split,logistic_regression,multimodal,0.8734251524046059,0.8069059283922152,,,reports/tables/temporal_stress_test_summary.csv,Temporal/external stress result from earlier robustness layer.
temporal_stress,time_stratified_participant_split,logistic_regression,multimodal,0.7872127872127873,0.6701766921906871,,,reports/tables/temporal_stress_test_summary.csv,Temporal/external stress result from earlier robustness layer.
temporal_stress,temporal_early_to_late,logistic_regression,multimodal,0.5657527470586157,0.8221695691801452,,,reports/tables/temporal_stress_test_summary.csv,Temporal/external stress result from earlier robustness layer.
temporal_stress,coswara_to_coughvid_external,external_transfer_beats_best,cough,0.5529926606224734,0.0393621818365529,,,reports/tables/temporal_stress_test_summary.csv,Temporal/external stress result from earlier robustness layer.
