prediction_source,evaluation_protocol,analysis_family,model_name,modality,submodality,modality_combination,fusion_method,feature_strategy,selected_feature_k,metric_split,split,threshold_probability,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit,net_benefit_minus_treat_all,net_benefit_minus_treat_none,prevalence,n_samples,n_positive,n_negative
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,catboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.05,-0.013317413086190454,-0.016621496124177924,0.0,0.00330408303798747,-0.013317413086190454,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,catboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.1,-0.0468931300764214,-0.0731004681310767,0.0,0.026207338054655305,-0.0468931300764214,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,catboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.15,-0.06859567737790111,-0.13622402507996356,0.0,0.06762834770206246,-0.06859567737790111,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,catboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.2,-0.08060256871924137,-0.20723802664746127,0.0,0.1266354579282199,-0.08060256871924137,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,catboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.25,-0.0865842435882047,-0.28772056175729205,0.0,0.20113631816908734,-0.0865842435882047,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,catboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.3,-0.08723013872455718,-0.37970060188281296,0.0,0.29247046315825576,-0.08723013872455718,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,catboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.35,-0.08431899393368605,-0.48583141741226005,0.0,0.40151242347857397,-0.08431899393368605,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,catboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.4,-0.08158284319609492,-0.6096507021966151,0.0,0.5280678590005202,-0.08158284319609492,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,catboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.45,-0.0773343808993791,-0.755982584214489,0.0,0.67864820331511,-0.0773343808993791,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,catboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.5,-0.0675789220981875,-0.931580842635938,0.0,0.8640019205377505,-0.0675789220981875,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,lightgbm_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.05,-0.006702929451825459,-0.016621496124177924,0.0,0.009918566672352466,-0.006702929451825459,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,lightgbm_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.1,-0.023900025340428652,-0.0731004681310767,0.0,0.04920044279064806,-0.023900025340428652,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,lightgbm_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.15,-0.036327818848101004,-0.13622402507996356,0.0,0.09989620623186256,-0.036327818848101004,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,lightgbm_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.2,-0.04363221702076582,-0.20723802664746127,0.0,0.16360580962669546,-0.04363221702076582,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,lightgbm_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.25,-0.04897371263953907,-0.28772056175729205,0.0,0.23874684911775299,-0.04897371263953907,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,lightgbm_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.3,-0.0531748889689113,-0.37970060188281296,0.0,0.32652571291390164,-0.0531748889689113,0.03420957868203097,8331,285,8046
