evaluation_protocol,analysis_family,model_name,modality,submodality,modality_combination,fusion_method,feature_strategy,selected_feature_k,audio_source_key,validation_auroc,validation_auprc,n_validation_aligned,n_test_aligned,n_validation_positive,n_test_positive,candidate_rank,metadata_feature_set
compare_is10_time_stratified_participant_split,strong_feature_level_fusion,catboost_smote_f80,multimodal,cough+speech,cough+speech,,compare_is10_top800_lightgbm,800.0,evaluation_protocol=compare_is10_time_stratified_participant_split||analysis_family=strong_feature_level_fusion||model_name=catboost_smote_f80||modality=multimodal||submodality=cough+speech||modality_combination=cough+speech||fusion_method=||feature_strategy=compare_is10_top800_lightgbm||selected_feature_k=800.0,0.8723404255319148,0.8032374888465588,65,61,18,18,1,symptoms_only
compare_is10_time_stratified_participant_split,strong_audio_modality,lightgbm_smote_f80,speech,counting_normal,,,compare_is10_top800_lightgbm,800.0,evaluation_protocol=compare_is10_time_stratified_participant_split||analysis_family=strong_audio_modality||model_name=lightgbm_smote_f80||modality=speech||submodality=counting_normal||modality_combination=||fusion_method=||feature_strategy=compare_is10_top800_lightgbm||selected_feature_k=800.0,0.8641975308641975,0.8155969680092487,63,60,18,17,2,symptoms_only
compare_is10_time_stratified_participant_split,strong_audio_modality,svc_rbf_f60,speech,vowel_e,,,compare_is10_top800_lightgbm,800.0,evaluation_protocol=compare_is10_time_stratified_participant_split||analysis_family=strong_audio_modality||model_name=svc_rbf_f60||modality=speech||submodality=vowel_e||modality_combination=||fusion_method=||feature_strategy=compare_is10_top800_lightgbm||selected_feature_k=800.0,0.8550531914893618,0.6968005399748821,63,58,16,16,3,symptoms_only
compare_is10_time_stratified_participant_split,strong_feature_level_fusion,lightgbm_smote_f80,multimodal,cough+speech,cough+speech,,compare_is10_top800_lightgbm,800.0,evaluation_protocol=compare_is10_time_stratified_participant_split||analysis_family=strong_feature_level_fusion||model_name=lightgbm_smote_f80||modality=multimodal||submodality=cough+speech||modality_combination=cough+speech||fusion_method=||feature_strategy=compare_is10_top800_lightgbm||selected_feature_k=800.0,0.851063829787234,0.7425533923845985,65,61,18,18,4,symptoms_only
compare_is10_time_stratified_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,cough+speech,cough+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,evaluation_protocol=compare_is10_time_stratified_participant_split||analysis_family=strong_multimodal_fusion||model_name=strong_baseline_selected_fusion||modality=multimodal||submodality=cough+speech||modality_combination=cough+speech||fusion_method=stacked_logistic_validation||feature_strategy=compare_is10_top800_lightgbm||selected_feature_k=800.0,0.8498817966903074,0.7822089815159972,65,61,18,18,5,symptoms_only
compare_is10_time_stratified_participant_split,strong_feature_level_fusion,catboost_smote_f80,multimodal,cough+speech,cough+speech,,compare_is10_top800_lightgbm,800.0,evaluation_protocol=compare_is10_time_stratified_participant_split||analysis_family=strong_feature_level_fusion||model_name=catboost_smote_f80||modality=multimodal||submodality=cough+speech||modality_combination=cough+speech||fusion_method=||feature_strategy=compare_is10_top800_lightgbm||selected_feature_k=800.0,0.8723404255319148,0.8032374888465588,65,61,18,18,1,full_safe_metadata
compare_is10_time_stratified_participant_split,strong_audio_modality,lightgbm_smote_f80,speech,counting_normal,,,compare_is10_top800_lightgbm,800.0,evaluation_protocol=compare_is10_time_stratified_participant_split||analysis_family=strong_audio_modality||model_name=lightgbm_smote_f80||modality=speech||submodality=counting_normal||modality_combination=||fusion_method=||feature_strategy=compare_is10_top800_lightgbm||selected_feature_k=800.0,0.8641975308641975,0.8155969680092487,63,60,18,17,2,full_safe_metadata
compare_is10_time_stratified_participant_split,strong_audio_modality,svc_rbf_f60,speech,vowel_e,,,compare_is10_top800_lightgbm,800.0,evaluation_protocol=compare_is10_time_stratified_participant_split||analysis_family=strong_audio_modality||model_name=svc_rbf_f60||modality=speech||submodality=vowel_e||modality_combination=||fusion_method=||feature_strategy=compare_is10_top800_lightgbm||selected_feature_k=800.0,0.8550531914893618,0.6968005399748821,63,58,16,16,3,full_safe_metadata
compare_is10_time_stratified_participant_split,strong_feature_level_fusion,lightgbm_smote_f80,multimodal,cough+speech,cough+speech,,compare_is10_top800_lightgbm,800.0,evaluation_protocol=compare_is10_time_stratified_participant_split||analysis_family=strong_feature_level_fusion||model_name=lightgbm_smote_f80||modality=multimodal||submodality=cough+speech||modality_combination=cough+speech||fusion_method=||feature_strategy=compare_is10_top800_lightgbm||selected_feature_k=800.0,0.851063829787234,0.7425533923845985,65,61,18,18,4,full_safe_metadata
compare_is10_time_stratified_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,cough+speech,cough+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,evaluation_protocol=compare_is10_time_stratified_participant_split||analysis_family=strong_multimodal_fusion||model_name=strong_baseline_selected_fusion||modality=multimodal||submodality=cough+speech||modality_combination=cough+speech||fusion_method=stacked_logistic_validation||feature_strategy=compare_is10_top800_lightgbm||selected_feature_k=800.0,0.8498817966903074,0.7822089815159972,65,61,18,18,5,full_safe_metadata
