evaluation_protocol,analysis_family,model_name,modality,submodality,modality_combination,fusion_method,feature_strategy,selected_feature_k,metric_split,audit_model,specification_rank,n_specifications_in_protocol,auroc,auprc,balanced_accuracy,f1,n_samples,n_participants,table_source
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+breath+speech,validation_weighted_auprc,,,test,,1,95,0.8908544882924312,0.845578951589023,0.8359532635728028,0.7835051546391752,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+breath+speech,stacked_logistic_validation,,,test,,2,95,0.8907606400450471,0.8418721023082718,0.7805593355544085,0.694560669456067,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_global_stacking,top_10_global_stack,multimodal,,global_prediction_stack,top_global_validation_weighted_auroc,,,test,,3,95,0.8901037023133593,0.8391575368715871,0.8089953545117545,0.7312775330396476,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+breath+speech,uniform_mean,,,test,,4,95,0.8900567781896673,0.8445025198746187,0.8359532635728028,0.7835051546391752,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_global_stacking,top_10_global_stack,multimodal,,global_prediction_stack,top_global_uniform_mean,,,test,,5,95,0.8900098540659753,0.8390454385496141,0.8089953545117545,0.7312775330396476,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_global_stacking,top_10_global_stack,multimodal,,global_prediction_stack,top_global_stacked_logistic_validation,,,test,,6,95,0.8897283093238234,0.8386683485744449,0.8046783351320914,0.723404255319149,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+speech,validation_weighted_auprc,,,test,,7,95,0.8880410654827969,0.8407058375722756,0.8158065112837588,0.7364016736401674,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+speech,uniform_mean,,,test,,8,95,0.8879485756566777,0.8399766065502792,0.8065112837587866,0.7378640776699029,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+speech,stacked_logistic_validation,,,test,,9,95,0.8875323714391417,0.8384649083260106,0.815251572327044,0.7391304347826086,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,breath+speech,stacked_logistic_validation,,,test,,10,95,0.8835343249964807,0.8259931029851695,0.8038337009056356,0.726457399103139,312.0,312.0,strong_baseline_metrics
