feature,importance,ranker,selection_split,selection_scope,n_selection_scopes,n_train_rows,n_train_positive,n_train_negative,rank
strong__event_start_sec,0.8059050527146933,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,1
strong__mfcc_07_q75,0.3501993261539502,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,2
compare2016__opensmile_compare2016_mfcc_sma_4_percentile99_0,0.3420750163169944,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,3
strong__mel_band_01_q75,0.3242037193894831,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,4
strong__mel_band_01_max,0.2754147242322718,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,5
strong__spectral_contrast_01_std,0.25635945521868164,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,6
is10__opensmile_is10_logMelFreqBand_sma_5_quartile3,0.24128318184412045,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,7
is10__opensmile_is10_mfcc_sma_4_percentile99_0,0.2144026432441591,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,8
strong__mfcc_05_q75,0.20933278296583005,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,9
strong__mfcc_07_max,0.1973857067852389,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,10
strong__mel_band_64_mean,0.19264216988760388,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,11
is10__opensmile_is10_lspFreq_sma_0_percentile1_0,0.18586463931921982,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,12
strong__mel_band_01_std,0.1807357807977853,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,13
strong__event_end_sec,0.17126109078892945,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,14
compare2016__event_start_sec,0.16696870977200504,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,15
is10__opensmile_is10_pcm_loudness_sma_iqr1_3,0.15254888493987345,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,16
strong__spectral_contrast_07_max,0.14930529894389974,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,17
strong__event_duration_sec,0.14376384543295337,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,18
strong__delta_mfcc_03_max,0.14307420151270417,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,19
strong__mel_band_64_iqr,0.13827661778630998,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,20
strong__mel_band_01_kurtosis,0.13488449360514662,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,21
is10__event_start_sec,0.13357847517121071,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,22
is10__opensmile_is10_voicingFinalUnclipped_sma_de_kurtosis,0.1174877921529338,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,23
