evaluation_protocol,split,label_binary,modalities_available,n_participants
clean_internal_protocol,test,negative,"breath,cough,speech",211
clean_internal_protocol,test,negative,cough,1
clean_internal_protocol,test,negative,"cough,speech",1
clean_internal_protocol,test,positive,"breath,cough,speech",101
clean_internal_protocol,test,positive,cough,1
clean_internal_protocol,test,positive,"cough,speech",1
clean_internal_protocol,train,negative,"breath,cough",1
clean_internal_protocol,train,negative,"breath,cough,speech",976
clean_internal_protocol,train,negative,"breath,speech",2
clean_internal_protocol,train,negative,cough,2
clean_internal_protocol,train,negative,"cough,speech",3
clean_internal_protocol,train,positive,breath,1
clean_internal_protocol,train,positive,"breath,cough",5
clean_internal_protocol,train,positive,"breath,cough,speech",464
clean_internal_protocol,train,positive,"cough,speech",6
clean_internal_protocol,validation,negative,"breath,cough,speech",208
clean_internal_protocol,validation,negative,"breath,speech",1
clean_internal_protocol,validation,negative,cough,1
clean_internal_protocol,validation,negative,"cough,speech",1
clean_internal_protocol,validation,positive,"breath,cough,speech",99
clean_internal_protocol,validation,positive,"cough,speech",2
