evaluation_protocol,protocol_exclusion_reason,split,modality,label_binary,n_rows,n_participants
clean_internal_protocol,included,test,breath,negative,411,211
clean_internal_protocol,included,test,breath,positive,183,101
clean_internal_protocol,included,test,cough,negative,419,213
clean_internal_protocol,included,test,cough,positive,203,103
clean_internal_protocol,included,test,speech,negative,1015,212
clean_internal_protocol,included,test,speech,positive,488,102
clean_internal_protocol,included,train,breath,negative,1939,979
clean_internal_protocol,included,train,breath,positive,897,470
clean_internal_protocol,included,train,cough,negative,1929,982
clean_internal_protocol,included,train,cough,positive,932,475
clean_internal_protocol,included,train,speech,negative,4782,981
clean_internal_protocol,included,train,speech,positive,2206,470
clean_internal_protocol,included,validation,breath,negative,412,209
clean_internal_protocol,included,validation,breath,positive,187,99
clean_internal_protocol,included,validation,cough,negative,413,210
clean_internal_protocol,included,validation,cough,positive,198,101
clean_internal_protocol,included,validation,speech,negative,1011,210
clean_internal_protocol,included,validation,speech,positive,481,101
clean_internal_protocol,quality_not_ok,test,breath,negative,19,15
clean_internal_protocol,quality_not_ok,test,breath,positive,23,21
clean_internal_protocol,quality_not_ok,test,cough,negative,11,9
clean_internal_protocol,quality_not_ok,test,cough,positive,3,3
clean_internal_protocol,quality_not_ok,test,speech,negative,60,28
clean_internal_protocol,quality_not_ok,test,speech,positive,27,16
clean_internal_protocol,quality_not_ok,train,breath,negative,67,43
clean_internal_protocol,quality_not_ok,train,breath,positive,55,49
clean_internal_protocol,quality_not_ok,train,cough,negative,76,55
clean_internal_protocol,quality_not_ok,train,cough,positive,20,19
clean_internal_protocol,quality_not_ok,train,speech,negative,232,108
clean_internal_protocol,quality_not_ok,train,speech,positive,174,90
clean_internal_protocol,quality_not_ok,validation,breath,negative,18,12
clean_internal_protocol,quality_not_ok,validation,breath,positive,17,14
clean_internal_protocol,quality_not_ok,validation,cough,negative,17,12
clean_internal_protocol,quality_not_ok,validation,cough,positive,6,5
clean_internal_protocol,quality_not_ok,validation,speech,negative,64,31
clean_internal_protocol,quality_not_ok,validation,speech,positive,29,16
clean_internal_protocol,unused_split,unused,breath,exclude,1264,632
clean_internal_protocol,unused_split,unused,cough,exclude,1264,632
clean_internal_protocol,unused_split,unused,speech,exclude,3160,632
