audit_model,feature,feature_group,existing_importance_abs,existing_coefficient,existing_rank,time_stratified_importance_abs,time_stratified_coefficient,time_stratified_rank,temporal_importance_abs,temporal_coefficient,temporal_rank,delta_temporal_minus_existing,delta_time_stratified_minus_existing
demographic_protocol_only,recording_year,recording_protocol,2.6478779271474098,2.6478779271474098,1.0,2.629289501555509,2.629289501555509,1.0,,,,,-0.01858842559190066
demographic_protocol_only,recording_month,recording_protocol,1.3996617193132173,1.3996617193132173,2.0,1.5089765453656656,1.5089765453656656,2.0,2.377715362935614,2.377715362935614,1.0,0.9780536436223966,0.10931482605244836
demographic_protocol_only,country_India,demographic,0.6347018150223923,0.6347018150223923,3.0,0.6939113772145306,0.6939113772145306,3.0,1.09964772359484,1.09964772359484,3.0,0.4649459085724478,0.05920956219213824
demographic_protocol_only,country_United Kingdom,demographic,0.6164865243986141,-0.6164865243986141,4.0,0.5983386106029068,-0.5983386106029068,4.0,0.3570725639769739,-0.3570725639769739,8.0,-0.25941396042164017,-0.018147913795707238
demographic_protocol_only,country_China,demographic,0.4293946322867883,-0.4293946322867883,5.0,0.1882848000847748,-0.1882848000847748,19.0,0.251384974956934,-0.251384974956934,12.0,-0.1780096573298543,-0.2411098322020135
demographic_protocol_only,country_France,demographic,0.3446137158810055,0.3446137158810055,6.0,0.1598286754126406,0.1598286754126406,23.0,0.5763410797456738,0.5763410797456738,6.0,0.23172736386466836,-0.1847850404683649
demographic_protocol_only,country_Vietnam,demographic,0.3028827862117251,-0.3028827862117251,7.0,0.3094199167328604,-0.3094199167328604,6.0,,,,,0.006537130521135304
demographic_protocol_only,country_Bangladesh,demographic,0.3010924912474818,-0.3010924912474818,8.0,0.3589549051414952,-0.3589549051414952,5.0,0.1344479445124454,-0.1344479445124454,21.0,-0.16664454673503637,0.05786241389401342
demographic_protocol_only,country_Bahrain,demographic,0.2951124633417708,0.2951124633417708,9.0,0.2055640668023431,0.2055640668023431,17.0,0.0318580887126879,-0.0318580887126879,32.0,-0.2632543746290829,-0.08954839653942773
demographic_protocol_only,country_Australia,demographic,0.2890917158827775,-0.2890917158827775,10.0,,,,0.0105619083673624,-0.0105619083673624,37.0,-0.2785298075154151,
demographic_protocol_only,country_Portugal,demographic,0.2885982361369554,-0.2885982361369554,11.0,0.3038605639653163,-0.3038605639653163,7.0,,,,,0.0152623278283609
demographic_protocol_only,duration_sec,recording_protocol,0.2538044024832229,-0.2538044024832229,12.0,0.1773840988586265,-0.1773840988586265,21.0,0.3133091182914752,-0.3133091182914752,9.0,0.059504715808252284,-0.0764203036245964
demographic_protocol_only,age,demographic,0.2477235514580049,0.2477235514580049,13.0,0.2529361061628538,0.2529361061628538,11.0,0.0962765901898839,-0.0962765901898839,22.0,-0.15144696126812102,0.005212554704848882
demographic_protocol_only,country_Japan,demographic,0.232413574239086,-0.232413574239086,14.0,0.2970762422473212,-0.2970762422473212,8.0,0.0134904717052365,-0.0134904717052365,34.0,-0.2189231025338495,0.0646626680082352
demographic_protocol_only,country_Israel,demographic,0.2153816214518201,-0.2153816214518201,15.0,0.2338276260964912,-0.2338276260964912,12.0,0.2175432715550998,-0.2175432715550998,15.0,0.0021616501032797053,0.018446004644671082
demographic_protocol_only,quality_flag_corrupt,recording_protocol,0.2126881344747072,-0.2126881344747072,16.0,0.2071497547252982,-0.2071497547252982,16.0,0.970881851450314,-0.970881851450314,4.0,0.7581937169756068,-0.005538379749408989
demographic_protocol_only,country_Thailand,demographic,0.1972539829413533,-0.1972539829413533,17.0,0.2078674410615764,-0.2078674410615764,15.0,,,,,0.010613458120223102
demographic_protocol_only,country_Greece,demographic,0.1970262347170849,-0.1970262347170849,18.0,0.2082042658682869,-0.2082042658682869,14.0,,,,,0.011178031151201973
demographic_protocol_only,country_Malaysia,demographic,0.190673119326083,-0.190673119326083,19.0,0.2251804890626131,-0.2251804890626131,13.0,0.0756252428163517,-0.0756252428163517,23.0,-0.11504787650973129,0.0345073697365301
demographic_protocol_only,country_South Africa,demographic,0.1842780196482965,-0.1842780196482965,20.0,0.1975662503428839,-0.1975662503428839,18.0,,,,,0.0132882306945874
demographic_protocol_only,country_Singapore,demographic,0.165525888930618,-0.165525888930618,21.0,0.1588271963440069,-0.1588271963440069,25.0,0.0394503906479617,-0.0394503906479617,27.0,-0.1260754982826563,-0.006698692586611099
demographic_protocol_only,country_Egypt,demographic,0.1651043662890831,-0.1651043662890831,22.0,,,,,,,,
demographic_protocol_only,country_Spain,demographic,0.1639515048488218,-0.1639515048488218,23.0,,,,0.2003299824498762,-0.2003299824498762,17.0,0.03637847760105442,
demographic_protocol_only,country_Turkey,demographic,0.1496946481475193,-0.1496946481475193,24.0,,,,0.2231072305482278,-0.2231072305482278,13.0,0.0734125824007085,
demographic_protocol_only,country_Canada,demographic,0.1466866824015847,-0.1466866824015847,25.0,0.2610402163273668,-0.2610402163273668,10.0,0.1774279310668708,-0.1774279310668708,18.0,0.030741248665286103,0.1143535339257821
demographic_protocol_only,gender_other,demographic,0.1283411960219264,0.1283411960219264,26.0,,,,,,,,
demographic_protocol_only,country_Romania,demographic,0.1259142920421039,-0.1259142920421039,27.0,0.1531256392334458,-0.1531256392334458,26.0,0.0069992612572107,-0.0069992612572107,41.0,-0.11891503078489318,0.02721134719134191
demographic_protocol_only,country_Iraq,demographic,0.122862123348321,-0.122862123348321,28.0,0.1273957033947053,-0.1273957033947053,28.0,,,,,0.004533580046384295
demographic_protocol_only,quality_flag_mostly_silence,recording_protocol,0.1100945602539157,0.1100945602539157,29.0,0.0813308452351645,0.0813308452351645,33.0,0.3946366223993047,0.3946366223993047,7.0,0.284542062145389,-0.028763715018751204
demographic_protocol_only,country_Syria,demographic,0.1041623014055688,-0.1041623014055688,30.0,0.1005041816853645,-0.1005041816853645,30.0,,,,,-0.0036581197202043003
demographic_protocol_only,country_Germany,demographic,0.0934964660420908,-0.0934964660420908,31.0,0.1595106897081927,-0.1595106897081927,24.0,0.0342802201105604,-0.0342802201105604,31.0,-0.0592162459315304,0.0660142236661019
demographic_protocol_only,country_Netherlands The,demographic,0.0841413806067667,-0.0841413806067667,32.0,0.0976851658297734,-0.0976851658297734,31.0,0.0537061679374141,-0.0537061679374141,24.0,-0.030435212669352597,0.013543785223006699
demographic_protocol_only,country_Saudi Arabia,demographic,0.0831666761987218,-0.0831666761987218,33.0,,,,0.1727411840553191,-0.1727411840553191,19.0,0.0895745078565973,
demographic_protocol_only,sample_rate_original,recording_protocol,0.070825559358038,0.070825559358038,34.0,0.1854793299689312,-0.1854793299689312,20.0,0.9163461073326004,-0.9163461073326004,5.0,0.8455205479745623,0.11465377061089321
demographic_protocol_only,country_Switzerland,demographic,0.0652554256618233,-0.0652554256618233,35.0,0.0629298495981294,-0.0629298495981294,36.0,0.0198775926425142,-0.0198775926425142,33.0,-0.045377833019309095,-0.0023255760636938932
demographic_protocol_only,country_Qatar,demographic,0.0628758706895492,-0.0628758706895492,36.0,0.0611240206486439,-0.0611240206486439,37.0,0.035818692316221,-0.035818692316221,28.0,-0.027057178373328196,-0.0017518500409052992
demographic_protocol_only,quality_flag_short,recording_protocol,0.0470639055590756,0.0470639055590756,37.0,0.0132635782998831,-0.0132635782998831,47.0,0.288502646293293,0.288502646293293,10.0,0.24143874073421737,-0.0338003272591925
demographic_protocol_only,country_Finland,demographic,0.0461228486944259,-0.0461228486944259,38.0,0.0461795432053695,-0.0461795432053695,42.0,0.0441636546446225,-0.0441636546446225,26.0,-0.001959194049803402,5.6694510943602894e-05
demographic_protocol_only,country_Iran,demographic,0.0456570872039696,-0.0456570872039696,39.0,0.0438715078030573,-0.0438715078030573,43.0,0.0058359978221222,-0.0058359978221222,42.0,-0.0398210893818474,-0.0017855794009122988
demographic_protocol_only,country_Argentina,demographic,0.0452882891864153,-0.0452882891864153,40.0,0.0430993462908942,-0.0430993462908942,44.0,0.0111194385455244,-0.0111194385455244,35.0,-0.0341688506408909,-0.002188942895521101
demographic_protocol_only,country_Oman,demographic,0.0446512330080247,-0.0446512330080247,41.0,0.0774196147930044,-0.0774196147930044,34.0,0.0485995095041251,-0.0485995095041251,25.0,0.003948276496100404,0.0327683817849797
demographic_protocol_only,country_United States,demographic,0.0377588957441101,-0.0377588957441101,42.0,0.1041971429318953,0.1041971429318953,29.0,1.3341247138196894,-1.3341247138196894,2.0,1.2963658180755793,0.06643824718778521
demographic_protocol_only,gender_female,demographic,0.0261096722027821,-0.0261096722027821,43.0,0.0486260741758806,0.0486260741758806,40.0,0.0345826157072829,0.0345826157072829,29.0,0.008472943504500802,0.0225164019730985
demographic_protocol_only,quality_flag_ok,recording_protocol,0.0241857510619412,0.0241857510619412,44.0,0.0525692070229107,0.0525692070229107,38.0,0.2816334860047867,0.2816334860047867,11.0,0.2574477349428455,0.0283834559609695
demographic_protocol_only,gender_male,demographic,0.0187851151653172,0.0187851151653172,45.0,0.0486260741758809,-0.0486260741758809,39.0,0.0345826157072829,-0.0345826157072829,30.0,0.015797500541965704,0.0298409590105637
demographic_protocol_only,country_Brazil,demographic,,,,0.2647244103748788,-0.2647244103748788,9.0,,,,,
demographic_protocol_only,country_Ecuador,demographic,,,,0.0842249096217198,-0.0842249096217198,32.0,,,,,
demographic_protocol_only,country_Hungary,demographic,,,,0.1631487525626143,-0.1631487525626143,22.0,0.2184536213761663,-0.2184536213761663,14.0,,
demographic_protocol_only,country_Indonesia,demographic,,,,,,,0.1637118881126424,-0.1637118881126424,20.0,,
demographic_protocol_only,country_Ireland,demographic,,,,0.0409813901194337,-0.0409813901194337,45.0,0.0108103225451168,-0.0108103225451168,36.0,,
demographic_protocol_only,country_Italy,demographic,,,,0.0773083800939117,-0.0773083800939117,35.0,,,,,
demographic_protocol_only,country_Mexico,demographic,,,,0.1483038448131315,-0.1483038448131315,27.0,0.2074207665081642,-0.2074207665081642,16.0,,
demographic_protocol_only,country_Norway,demographic,,,,0.0463962183529051,-0.0463962183529051,41.0,0.0105165017572474,-0.0105165017572474,38.0,,
demographic_protocol_only,country_Philippines,demographic,,,,0.0388951869119518,-0.0388951869119518,46.0,0.0088112773944364,-0.0088112773944364,40.0,,
demographic_protocol_only,country_United Arab Emirates,demographic,,,,,,,0.0100722039578571,-0.0100722039578571,39.0,,
full_safe_metadata,recording_year,recording_protocol,2.001122319141864,2.001122319141864,1.0,1.8240129858692675,1.8240129858692675,1.0,,,,,-0.1771093332725966
full_safe_metadata,recording_month,recording_protocol,1.0822603090528915,1.0822603090528915,2.0,1.081637444458183,1.081637444458183,2.0,2.4198191162267944,2.4198191162267944,1.0,1.3375588071739029,-0.0006228645947083944
full_safe_metadata,comorbidities_json_others_preexist,comorbidity_proxy,0.6869838849960308,0.6869838849960308,3.0,0.5854352745990828,0.5854352745990828,7.0,,,,,-0.10154861039694796
full_safe_metadata,symptoms_json_cough,symptom_or_label_proxy,0.6614782157771634,0.6614782157771634,4.0,0.6314031038091762,0.6314031038091762,5.0,0.4283985979373484,0.4283985979373484,12.0,-0.23307961783981496,-0.030075111967987178
full_safe_metadata,country_India,demographic,0.5912154935234031,0.5912154935234031,5.0,0.6165557001851295,0.6165557001851295,6.0,1.0206569873865532,1.0206569873865532,3.0,0.4294414938631501,0.025340206661726428
full_safe_metadata,symptoms_json_loss_of_smell,symptom_or_label_proxy,0.5524018849592564,0.5524018849592564,6.0,0.4897474159903273,0.4897474159903273,10.0,0.3736111612512193,0.3736111612512193,15.0,-0.17879072370803706,-0.06265446896892907
full_safe_metadata,symptoms_json_others_resp,symptom_or_label_proxy,0.529571726735346,0.529571726735346,7.0,0.3195609798499775,0.3195609798499775,15.0,,,,,-0.21001074688536853
full_safe_metadata,country_United Kingdom,demographic,0.4659874578232366,-0.4659874578232366,8.0,0.4453751317140095,-0.4453751317140095,13.0,0.426260667763779,-0.426260667763779,13.0,-0.03972679005945756,-0.020612326109227086
full_safe_metadata,comorbidities_json_pneumonia,comorbidity_proxy,0.4325969131740874,0.4325969131740874,9.0,0.4553062717811535,0.4553062717811535,11.0,0.5873236155555228,0.5873236155555228,8.0,0.15472670238143543,0.022709358607066132
full_safe_metadata,quality_flag_corrupt,recording_protocol,0.4227947772667,-0.4227947772667,10.0,0.0862632953224052,-0.0862632953224052,49.0,0.9300753985410742,-0.9300753985410742,4.0,0.5072806212743742,-0.33653148194429483
full_safe_metadata,symptoms_json_ftg,symptom_or_label_proxy,0.4146239560081945,0.4146239560081945,11.0,0.5578448616687123,0.5578448616687123,8.0,0.0063409914170506,0.0063409914170506,58.0,-0.40828296459114394,0.14322090566051776
full_safe_metadata,symptoms_json_cold,symptom_or_label_proxy,0.4117411998264479,0.4117411998264479,12.0,0.4535165270232812,0.4535165270232812,12.0,0.6959176817374236,0.6959176817374236,6.0,0.2841764819109757,0.0417753271968333
full_safe_metadata,symptoms_json_fever,symptom_or_label_proxy,0.3883491002143028,0.3883491002143028,13.0,0.7200789088905633,0.7200789088905633,3.0,0.6265600764138956,0.6265600764138956,7.0,0.23821097619959275,0.33172980867626045
full_safe_metadata,country_China,demographic,0.3526988342665091,-0.3526988342665091,14.0,0.1629094518849347,-0.1629094518849347,34.0,0.2341470366425312,-0.2341470366425312,22.0,-0.11855179762397791,-0.18978938238157442
full_safe_metadata,country_Bahrain,demographic,0.3348122909579529,0.3348122909579529,15.0,0.1711454190914031,0.1711454190914031,32.0,0.0472610778490529,0.0472610778490529,43.0,-0.2875512131089,-0.1636668718665498
full_safe_metadata,country_Canada,demographic,0.3134101876427573,-0.3134101876427573,16.0,0.2295907263211986,-0.2295907263211986,22.0,0.4404335721786345,-0.4404335721786345,11.0,0.1270233845358772,-0.08381946132155871
full_safe_metadata,country_Vietnam,demographic,0.3076323627561544,-0.3076323627561544,17.0,0.3055413539007536,-0.3055413539007536,16.0,,,,,-0.002091008855400811
