recording_year_month,n_participants,n_positive,n_negative,positive_prevalence,age_mean,symptom_count_mean,duration_sec_mean,quality_ok_share,female_share,top_country
2020-04,647,1,646,0.0015455950540958269,32.1483771251932,0.012364760432766615,10.693527606044993,0.98145285935085,0.22720247295208656,India
2020-05,284,2,282,0.007042253521126761,37.20070422535211,0.13732394366197184,10.917518754890455,0.9823943661971831,0.2535211267605634,India
2020-06,34,2,32,0.058823529411764705,29.441176470588236,0.20588235294117646,10.56517830882353,1.0,0.17647058823529413,India
2020-07,48,2,46,0.041666666666666664,37.979166666666664,0.375,10.621634693287037,0.9583333333333334,0.16666666666666666,India
2020-08,138,36,102,0.2608695652173913,30.340579710144926,0.6014492753623188,9.659224587359098,0.9420289855072463,0.2391304347826087,India
2020-09,64,44,20,0.6875,33.0,1.328125,7.093362521701389,0.9375,0.375,India
2020-10,41,11,30,0.2682926829268293,29.24390243902439,1.0,9.914783028455284,1.0,0.36585365853658536,India
2020-11,11,2,9,0.18181818181818182,35.72727272727273,0.45454545454545453,10.116204545454545,1.0,0.2727272727272727,India
2020-12,29,8,21,0.27586206896551724,39.172413793103445,0.8275862068965517,9.72532088122605,1.0,0.2413793103448276,India
2021-01,9,0,9,0.0,32.333333333333336,0.1111111111111111,8.214576388888888,1.0,0.1111111111111111,India
2021-02,15,3,12,0.2,34.0,0.9333333333333333,9.031456944444445,1.0,0.26666666666666666,India
2021-03,15,4,11,0.26666666666666666,31.733333333333334,1.4,9.616689814814814,1.0,0.4666666666666667,India
2021-04,89,28,61,0.3146067415730337,37.28089887640449,0.8426966292134831,10.462326935081148,1.0,0.3146067415730337,India
2021-05,53,36,17,0.6792452830188679,36.24528301886792,1.7735849056603774,10.68966758385744,1.0,0.3018867924528302,India
2021-06,110,71,39,0.6454545454545455,41.627272727272725,1.7,9.708130681818185,0.990909090909091,0.34545454545454546,India
2021-07,103,90,13,0.8737864077669902,41.33009708737864,2.8349514563106797,8.477230717367853,1.0,0.39805825242718446,India
2021-08,19,5,14,0.2631578947368421,33.78947368421053,0.9473684210526315,9.126531067251461,1.0,0.5263157894736842,India
2021-09,100,85,15,0.85,45.55,3.35,10.139948611111112,0.99,0.58,India
2021-10,4,1,3,0.25,33.0,1.25,8.869940972222222,1.0,0.25,India
2021-11,6,0,6,0.0,35.666666666666664,0.3333333333333333,8.297898148148148,0.8333333333333334,0.5,India
2021-12,8,1,7,0.125,26.25,0.75,10.503131944444444,1.0,0.0,India
2022-01,189,173,16,0.9153439153439153,33.08994708994709,3.0105820105820107,9.685882532333922,0.9576719576719577,0.4074074074074074,India
2022-02,98,76,22,0.7755102040816326,40.04081632653061,2.7551020408163267,8.282095025510204,0.9795918367346939,0.32653061224489793,India
