table_source,model_name,modality,fusion_method,n_samples,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,ece,nll
ml_baseline_metrics,dummy_most_frequent,cough,,636,0.500,0.324,0.500,0.000,1.000,0.000,0.324,0.324,4.475
ml_baseline_metrics,dummy_stratified,cough,,636,0.479,0.316,0.479,0.296,0.663,0.296,0.456,0.456,6.300
ml_baseline_metrics,logistic_regression,cough,,636,0.789,0.654,0.738,0.782,0.695,0.647,0.194,0.162,0.584
ml_baseline_metrics,random_forest,cough,,636,0.808,0.720,0.660,0.359,0.960,0.498,0.171,0.132,0.522
ml_baseline_metrics,dummy_most_frequent,breath,,636,0.500,0.324,0.500,0.000,1.000,0.000,0.324,0.324,4.475
ml_baseline_metrics,dummy_stratified,breath,,636,0.479,0.316,0.479,0.296,0.663,0.296,0.456,0.456,6.300
ml_baseline_metrics,logistic_regression,breath,,636,0.756,0.568,0.696,0.767,0.626,0.602,0.206,0.146,0.596
ml_baseline_metrics,random_forest,breath,,636,0.793,0.664,0.685,0.447,0.923,0.556,0.170,0.075,0.519
ml_baseline_metrics,dummy_most_frequent,speech,,1590,0.500,0.324,0.500,0.000,1.000,0.000,0.324,0.324,4.475
ml_baseline_metrics,dummy_stratified,speech,,1590,0.515,0.331,0.515,0.342,0.687,0.343,0.425,0.425,5.865
ml_baseline_metrics,logistic_regression,speech,,1590,0.749,0.605,0.674,0.734,0.613,0.578,0.210,0.162,0.604
ml_baseline_metrics,random_forest,speech,,1590,0.758,0.621,0.635,0.340,0.931,0.458,0.181,0.075,0.544
cnn_metrics,compact_cnn,cough,,636,0.750,0.559,0.669,0.786,0.551,0.578,0.224,0.197,0.642
calibration_metrics,dummy_most_frequent,breath,,636,0.500,0.324,0.500,0.000,1.000,0.000,0.219,0.002,0.630
calibration_metrics,dummy_most_frequent,cough,,636,0.500,0.324,0.500,0.000,1.000,0.000,0.219,0.002,0.630
calibration_metrics,dummy_most_frequent,speech,,1590,0.500,0.324,0.500,0.000,1.000,0.000,0.219,0.002,0.630
calibration_metrics,dummy_stratified,breath,,636,0.479,0.316,0.500,0.000,1.000,0.000,0.219,0.002,0.630
calibration_metrics,dummy_stratified,cough,,636,0.479,0.316,0.500,0.000,1.000,0.000,0.219,0.002,0.630
calibration_metrics,dummy_stratified,speech,,1590,0.515,0.331,0.500,0.000,1.000,0.000,0.219,0.002,0.630
calibration_metrics,logistic_regression,breath,,636,0.756,0.568,0.563,0.155,0.970,0.255,0.187,0.077,0.554
calibration_metrics,logistic_regression,cough,,636,0.789,0.654,0.658,0.388,0.928,0.505,0.174,0.101,0.529
calibration_metrics,logistic_regression,speech,,1590,0.749,0.605,0.646,0.396,0.895,0.490,0.184,0.053,0.548
calibration_metrics,random_forest,breath,,636,0.793,0.664,0.658,0.383,0.933,0.503,0.172,0.079,0.524
calibration_metrics,random_forest,cough,,636,0.808,0.720,0.657,0.354,0.960,0.493,0.167,0.101,0.513
calibration_metrics,random_forest,speech,,1590,0.758,0.621,0.645,0.373,0.916,0.482,0.178,0.050,0.536
fusion_metrics,,,uniform_mean,318,0.879,0.841,0.811,0.748,0.874,0.744,0.190,0.152,0.565
fusion_metrics,,,validation_weighted_auprc,318,0.878,0.843,0.812,0.699,0.926,0.754,0.190,0.144,0.565
quality_weighted_fusion_metrics,,,quality_weighted_auprc,318,"0.879 [0.831, 0.921]","0.838 [0.775, 0.888]",0.791,0.816,0.767,0.709,"0.190 [0.174, 0.205]","0.157 [0.130, 0.203]",0.565
metadata_baseline_metrics,metadata_logistic_regression,metadata,,2862,0.936,0.922,0.891,0.847,0.934,0.854,0.074,0.075,0.269
