uncertainty_half_width,uncertainty_low,uncertainty_high,coverage,n_accepted,auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples
0.0,0.5,0.5,0.9842767295597484,313,0.8774742124337886,0.8311594470451188,0.5,0.0,0.0,1.0,0.1902093948388744,0.15120169476463335,0.5658020310913329,0.5,313.0
0.05,0.45,0.55,0.9654088050314465,307,0.8698163507109006,0.809952394129044,0.5,0.0,0.0,1.0,0.18848592007566067,0.14384816639951692,0.5622013133970627,0.5,307.0
0.1,0.4,0.6,0.8522012578616353,271,0.8081494057724957,0.6269226387606794,0.5,0.0,0.0,1.0,0.1699903132091575,0.09323189349451888,0.5239568969280868,0.5,271.0
0.15,0.35,0.65,0.6698113207547169,213,0.6818000796495419,0.2635300760122599,0.5,0.0,0.0,1.0,0.13770842133731365,0.17350221422369164,0.45638379752461133,0.5,213.0
0.2,0.3,0.7,0.3553459119496855,113,0.4865229110512129,0.06585002408679971,0.5,0.0,0.0,1.0,0.1049949863778253,0.21617458150542251,0.3850632662233753,0.5,113.0
0.25,0.25,0.75,0.0220125786163522,7,,,1.0,0.0,0.0,1.0,0.0607651852576077,0.24648935421947418,0.28301932653250134,0.5,7.0
0.3,0.2,0.8,0.0,0,,,,,,,,,,,
0.35,0.15000000000000002,0.85,0.0,0,,,,,,,,,,,
0.4,0.09999999999999998,0.9,0.0,0,,,,,,,,,,,
0.45,0.04999999999999999,0.95,0.0,0,,,,,,,,,,,
