metric,point,mean,ci_low,ci_high,confidence,n_bootstraps,n_samples,model_name
auroc,0.7521630162362428,0.7507343778567429,0.6852452477036166,0.8117260000849715,0.95,1000,1667,catboost
auprc,0.13413631674643028,0.1404604648507294,0.07411525070849656,0.2208182646797057,0.95,1000,1667,catboost
brier,0.032414065433896085,0.032397869982771596,0.02461991905985081,0.04037501337511266,0.95,1000,1667,catboost
ece,0.0006087019139408058,0.004070292044265669,0.000606976579051168,0.010601323804071677,0.95,1000,1667,catboost
auroc,0.78093058733791,0.7796545050565028,0.7134181581057594,0.840740171990172,0.95,1000,1667,lightgbm
auprc,0.17780560877750964,0.18299176044541354,0.09804570626052908,0.2812656763561398,0.95,1000,1667,lightgbm
brier,0.03284988419115771,0.03282794228568304,0.025038694623523358,0.04111474991880679,0.95,1000,1667,lightgbm
ece,5.9915241363055205e-05,0.0035024510452277423,4.571282687608411e-05,0.010176146957287366,0.95,1000,1667,lightgbm
auroc,0.71441647597254,0.7122282412831484,0.6397279925403612,0.777411984618346,0.95,1000,1667,logistic_regression
auprc,0.13757111646107834,0.1454455621550872,0.07260355249811463,0.23435198916761601,0.95,1000,1667,logistic_regression
brier,0.03204162442381806,0.032034795096960875,0.024395078834851775,0.04003414670937308,0.95,1000,1667,logistic_regression
ece,0.005883836750931975,0.007496136824756789,0.0019267961063795824,0.014694696790359906,0.95,1000,1667,logistic_regression
auroc,0.7670153644982021,0.766136237211463,0.7092699474131264,0.8204915915231414,0.95,1000,1667,random_forest
auprc,0.11989057717631024,0.12436471501481383,0.06760826416098992,0.18919328652684975,0.95,1000,1667,random_forest
brier,0.03294745283925868,0.03292393786685136,0.025119126180170166,0.041294117703865874,0.95,1000,1667,random_forest
ece,9.200824352220693e-05,0.0035099280690883104,8.521550000781497e-05,0.010116272348057719,0.95,1000,1667,random_forest
auroc,0.7542225128037484,0.752931458906077,0.6905221882307773,0.815524570165711,0.95,1000,1667,xgboost
auprc,0.1378738871885409,0.14140367126886705,0.0777796580521122,0.21552831395048713,0.95,1000,1667,xgboost
brier,0.031947752769997735,0.03193718822288563,0.024408916529144058,0.039738768666919756,0.95,1000,1667,xgboost
ece,0.002514843559947284,0.00526394934318996,0.0014360916743207535,0.012133094011291574,0.95,1000,1667,xgboost
