uncertainty_half_width,uncertainty_low,uncertainty_high,coverage,n_accepted,auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples
0.0,0.5,0.5,0.9842767295597484,313,0.8777994610166341,0.8374738234630337,0.5,0.0,0.0,1.0,0.19032983892895255,0.15724378038107606,0.5660421565181798,0.5,313.0
0.05,0.45,0.55,0.9654088050314465,307,0.8701619273301737,0.8180403038342188,0.5,0.0,0.0,1.0,0.1885250108980222,0.14992978665716417,0.5622778798833983,0.5,307.0
0.1,0.4,0.6,0.8427672955974843,268,0.797907712269889,0.5850708731304446,0.5,0.0,0.0,1.0,0.16769943828625386,0.0942227112973734,0.5192257176031232,0.5,268.0
0.15,0.35,0.65,0.6886792452830188,219,0.6682872101720269,0.23265969769033168,0.5,0.0,0.0,1.0,0.13862679250546622,0.17331979268058764,0.45845789896783345,0.5,219.0
0.2,0.3,0.7,0.34591194968553457,110,0.5392156862745099,0.0885148729485225,0.5,0.0,0.0,1.0,0.1091700281708643,0.20473138682570755,0.39386780606527133,0.5,110.0
0.25,0.25,0.75,0.015723270440251572,5,,,1.0,0.0,0.0,1.0,0.05989194524149964,0.24471268829503318,0.28066375246395775,0.5,5.0
0.3,0.2,0.8,0.0,0,,,,,,,,,,,
0.35,0.15000000000000002,0.85,0.0,0,,,,,,,,,,,
0.4,0.09999999999999998,0.9,0.0,0,,,,,,,,,,,
0.45,0.04999999999999999,0.95,0.0,0,,,,,,,,,,,
